"participant","candidate","names","Data","Language","Social","Experience","crit","rating","model_pred"
"AFLI9",1,"Joana",0,0,0,0,0,1,NA
"AFLI9",2,"Filipa",1,0,0,0,4,3,NA
"AFLI9",3,"Simone",0,1,0,0,3,2,NA
"AFLI9",4,"Ulrike",1,1,0,0,7,3,NA
"AFLI9",5,"Ute",0,0,1,0,2,2,NA
"AFLI9",6,"Rita",1,0,1,0,6,6,NA
"AFLI9",7,"Bettina",0,1,1,0,5,5,NA
"AFLI9",8,"Guilia",1,1,1,0,9,5,NA
"AFLI9",9,"Fernande",0,0,0,1,1,4,NA
"AFLI9",10,"Maria",1,0,0,1,5,7,NA
"AFLI9",11,"Bela",0,1,0,1,4,6,NA
"AFLI9",12,"Salome",1,1,0,1,8,8,NA
"AFLI9",13,"Manuela",0,0,1,1,3,7,NA
"AFLI9",14,"Dominque",1,0,1,1,7,9,NA
"AFLI9",15,"Jule",0,1,1,1,6,8,NA
"AFLI9",16,"Tina",1,1,1,1,10,10,NA
"AM99",1,"Joana",0,0,0,0,0,1,NA
"AM99",2,"Filipa",1,0,0,0,4,2,NA
"AM99",3,"Simone",0,1,0,0,3,1,NA
"AM99",4,"Ulrike",1,1,0,0,7,4,NA
"AM99",5,"Ute",0,0,1,0,2,2,NA
"AM99",6,"Rita",1,0,1,0,6,3,NA
"AM99",7,"Bettina",0,1,1,0,5,3,NA
"AM99",8,"Guilia",1,1,1,0,9,8,NA
"AM99",9,"Fernande",0,0,0,1,1,2,NA
"AM99",10,"Maria",1,0,0,1,5,5,NA
"AM99",11,"Bela",0,1,0,1,4,4,NA
"AM99",12,"Salome",1,1,0,1,8,8,NA
"AM99",13,"Manuela",0,0,1,1,3,3,NA
"AM99",14,"Dominque",1,0,1,1,7,8,NA
"AM99",15,"Jule",0,1,1,1,6,7,NA
"AM99",16,"Tina",1,1,1,1,10,8,NA
"G206",1,"Joana",0,0,0,0,0,1,NA
"G206",2,"Filipa",1,0,0,0,4,3,NA
"G206",3,"Simone",0,1,0,0,3,1,NA
"G206",4,"Ulrike",1,1,0,0,7,4,NA
"G206",5,"Ute",0,0,1,0,2,2,NA
"G206",6,"Rita",1,0,1,0,6,3,NA
"G206",7,"Bettina",0,1,1,0,5,7,NA
"G206",8,"Guilia",1,1,1,0,9,8,NA
"G206",9,"Fernande",0,0,0,1,1,3,NA
"G206",10,"Maria",1,0,0,1,5,6,NA
"G206",11,"Bela",0,1,0,1,4,6,NA
"G206",12,"Salome",1,1,0,1,8,9,NA
"G206",13,"Manuela",0,0,1,1,3,4,NA
"G206",14,"Dominque",1,0,1,1,7,8,NA
"G206",15,"Jule",0,1,1,1,6,7,NA
"G206",16,"Tina",1,1,1,1,10,10,NA
"chlo.oe",1,"Joana",0,0,0,0,0,0,NA
"chlo.oe",2,"Filipa",1,0,0,0,4,4,NA
"chlo.oe",3,"Simone",0,1,0,0,3,3,NA
"chlo.oe",4,"Ulrike",1,1,0,0,7,7,NA
"chlo.oe",5,"Ute",0,0,1,0,2,2,NA
"chlo.oe",6,"Rita",1,0,1,0,6,6,NA
"chlo.oe",7,"Bettina",0,1,1,0,5,5,NA
"chlo.oe",8,"Guilia",1,1,1,0,9,9,NA
"chlo.oe",9,"Fernande",0,0,0,1,1,1,NA
"chlo.oe",10,"Maria",1,0,0,1,5,5,NA
"chlo.oe",11,"Bela",0,1,0,1,4,4,NA
"chlo.oe",12,"Salome",1,1,0,1,8,8,NA
"chlo.oe",13,"Manuela",0,0,1,1,3,3,NA
"chlo.oe",14,"Dominque",1,0,1,1,7,7,NA
"chlo.oe",15,"Jule",0,1,1,1,6,6,NA
"chlo.oe",16,"Tina",1,1,1,1,10,10,NA
"CM71",1,"Joana",0,0,0,0,0,0,NA
"CM71",2,"Filipa",1,0,0,0,4,4,NA
"CM71",3,"Simone",0,1,0,0,3,3,NA
"CM71",4,"Ulrike",1,1,0,0,7,6,NA
"CM71",5,"Ute",0,0,1,0,2,3,NA
"CM71",6,"Rita",1,0,1,0,6,7,NA
"CM71",7,"Bettina",0,1,1,0,5,6,NA
"CM71",8,"Guilia",1,1,1,0,9,9,NA
"CM71",9,"Fernande",0,0,0,1,1,1,NA
"CM71",10,"Maria",1,0,0,1,5,5,NA
"CM71",11,"Bela",0,1,0,1,4,5,NA
